nohup: ignoring input
--faucet-sol argument ignored, ledger already exists
Ledger location: test-ledger
Log: test-ledger/validator.log
Initializing...
Waiting for fees to stabilize 1...
Connecting...
Identity: A8dbc5Q2ygioFjaqQxhoZWUZvtrexucLJFj2sHcdFHkC
Genesis Hash: DdWgBiQBSEyMwRw8bwoCYHFuYVmLSJxCfMRfefoSeSrc
Version: 1.18.20
Shred Version: 35959
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:31 | Processed Slot: 2490 | Confirmed Slot: 2490 | Finalized Slot: 2458 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2715 | ◎499.988170000
00:00:31 | Processed Slot: 2491 | Confirmed Slot: 2491 | Finalized Slot: 2459 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2716 | ◎499.988165000
00:00:31 | Processed Slot: 2492 | Confirmed Slot: 2492 | Finalized Slot: 2460 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2717 | ◎499.988160000
00:00:32 | Processed Slot: 2492 | Confirmed Slot: 2492 | Finalized Slot: 2460 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2717 | ◎499.988160000
00:00:32 | Processed Slot: 2493 | Confirmed Slot: 2493 | Finalized Slot: 2461 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2718 | ◎499.988155000
00:00:32 | Processed Slot: 2494 | Confirmed Slot: 2494 | Finalized Slot: 2462 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2719 | ◎499.988150000
00:00:32 | Processed Slot: 2494 | Confirmed Slot: 2494 | Finalized Slot: 2462 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2719 | ◎499.988150000
00:00:33 | Processed Slot: 2495 | Confirmed Slot: 2495 | Finalized Slot: 2463 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2720 | ◎499.988145000
00:00:33 | Processed Slot: 2495 | Confirmed Slot: 2495 | Finalized Slot: 2463 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2720 | ◎499.988145000
00:00:33 | Processed Slot: 2496 | Confirmed Slot: 2496 | Finalized Slot: 2464 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2721 | ◎499.988140000
00:00:33 | Processed Slot: 2497 | Confirmed Slot: 2497 | Finalized Slot: 2465 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2722 | ◎499.988135000
00:00:34 | Processed Slot: 2497 | Confirmed Slot: 2497 | Finalized Slot: 2465 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2722 | ◎499.988135000
00:00:34 | Processed Slot: 2498 | Confirmed Slot: 2498 | Finalized Slot: 2466 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2723 | ◎499.988130000
00:00:34 | Processed Slot: 2499 | Confirmed Slot: 2498 | Finalized Slot: 2467 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2724 | ◎499.988130000
00:00:34 | Processed Slot: 2499 | Confirmed Slot: 2499 | Finalized Slot: 2467 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2724 | ◎499.988125000
00:00:35 | Processed Slot: 2500 | Confirmed Slot: 2500 | Finalized Slot: 2468 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2725 | ◎499.988120000
00:00:35 | Processed Slot: 2500 | Confirmed Slot: 2500 | Finalized Slot: 2468 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2725 | ◎499.988120000
00:00:35 | Processed Slot: 2501 | Confirmed Slot: 2501 | Finalized Slot: 2469 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2726 | ◎499.988115000
00:00:35 | Processed Slot: 2502 | Confirmed Slot: 2502 | Finalized Slot: 2470 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2727 | ◎499.988110000
00:00:36 | Processed Slot: 2502 | Confirmed Slot: 2502 | Finalized Slot: 2470 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2727 | ◎499.988110000
00:00:36 | Processed Slot: 2503 | Confirmed Slot: 2503 | Finalized Slot: 2471 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2728 | ◎499.988105000
00:00:36 | Processed Slot: 2503 | Confirmed Slot: 2503 | Finalized Slot: 2471 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2728 | ◎499.988105000
00:00:36 | Processed Slot: 2504 | Confirmed Slot: 2504 | Finalized Slot: 2472 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2729 | ◎499.988100000
00:00:37 | Processed Slot: 2505 | Confirmed Slot: 2505 | Finalized Slot: 2473 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2730 | ◎499.988095000
00:00:37 | Processed Slot: 2505 | Confirmed Slot: 2505 | Finalized Slot: 2473 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2730 | ◎499.988095000
00:00:37 | Processed Slot: 2506 | Confirmed Slot: 2506 | Finalized Slot: 2474 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2731 | ◎499.988090000
00:00:37 | Processed Slot: 2507 | Confirmed Slot: 2507 | Finalized Slot: 2475 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2732 | ◎499.988085000
00:00:38 | Processed Slot: 2507 | Confirmed Slot: 2507 | Finalized Slot: 2475 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2732 | ◎499.988085000
00:00:38 | Processed Slot: 2508 | Confirmed Slot: 2508 | Finalized Slot: 2476 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2733 | ◎499.988080000
